Gateway 0 Arrival Rate	Pure Cloud Average Effective Arrival rate of 0	Next Hop Average Effective Arrival rate of 0	Probabilistic DF Average Effective Arrival rate of 0	Pure Cloud Average Effective Arrival rate of 1	Next Hop Average Effective Arrival rate of 1	Probabilistic DF Average Effective Arrival rate of 1	Pure Cloud Average Effective Arrival rate of 2	Next Hop Average Effective Arrival rate of 2	Probabilistic DF Average Effective Arrival rate of 2	Pure Cloud Average Effective Arrival rate of Cloud	Next Hop Average Effective Arrival rate of Cloud	Probabilistic DF Average Effective Arrival rate of Cloud
2750.0	0.0	421.3333333333333	399.6666666666667	0.0	197.0	406.0	0.0	395.0	1444.8333333333333	3249.8333333333335	2205.8333333333335	260.1666666666667
2800.0	0.0	424.5	420.1666666666667	0.0	210.5	411.6666666666667	0.0	383.8333333333333	1436.0	3309.1666666666665	2304.8333333333335	267.3333333333333
2850.0	0.0	411.6666666666667	400.0	0.0	201.0	410.8333333333333	0.0	405.5	1450.6666666666667	3376.8333333333335	2388.5	260.1666666666667
2900.0	0.0	405.0	412.8333333333333	0.0	200.33333333333334	414.8333333333333	0.0	397.8333333333333	1472.8333333333333	3436.8333333333335	2400.5	279.0
2950.0	0.0	401.6666666666667	411.1666666666667	0.0	204.0	406.8333333333333	0.0	393.6666666666667	1481.5	3427.1666666666665	2449.1666666666665	285.0
3000.0	0.0	405.3333333333333	421.1666666666667	0.0	194.16666666666666	405.8333333333333	0.0	387.5	1524.1666666666667	3511.6666666666665	2547.8333333333335	278.5
3050.0	0.0	399.5	406.3333333333333	0.0	197.83333333333334	390.6666666666667	0.0	388.5	1504.0	3563.3333333333335	2573.0	300.0
3100.0	0.0	415.3333333333333	415.1666666666667	0.0	205.66666666666666	411.5	0.0	395.3333333333333	1542.3333333333333	3594.0	2578.8333333333335	291.5
3150.0	0.0	401.5	422.3333333333333	0.0	197.0	430.8333333333333	0.0	394.5	1519.0	3682.8333333333335	2646.0	283.5
3200.0	0.0	429.6666666666667	410.1666666666667	0.0	191.33333333333334	411.5	0.0	404.3333333333333	1565.6666666666667	3713.1666666666665	2649.6666666666665	303.8333333333333
3250.0	0.0	405.5	428.0	0.0	203.33333333333334	408.5	0.0	396.1666666666667	1580.0	3723.6666666666665	2752.8333333333335	312.8333333333333
3300.0	0.0	426.1666666666667	409.1666666666667	0.0	208.0	405.8333333333333	0.0	412.0	1585.6666666666667	3776.8333333333335	2783.8333333333335	316.1666666666667
3350.0	0.0	389.3333333333333	421.0	0.0	218.33333333333334	407.6666666666667	0.0	403.8333333333333	1582.1666666666667	3869.1666666666665	2863.0	320.6666666666667
3400.0	0.0	430.5	419.0	0.0	204.66666666666666	426.0	0.0	415.6666666666667	1573.5	3869.3333333333335	2839.3333333333335	328.6666666666667
3450.0	0.0	402.6666666666667	418.5	0.0	197.16666666666666	390.0	0.0	401.8333333333333	1591.3333333333333	3957.5	2908.1666666666665	336.6666666666667
3500.0	0.0	418.5	406.5	0.0	209.83333333333334	411.1666666666667	0.0	402.6666666666667	1604.5	3961.5	2944.5	343.6666666666667
3550.0	0.0	405.0	412.6666666666667	0.0	201.66666666666666	406.5	0.0	395.5	1611.3333333333333	4029.0	3048.5	331.1666666666667
3600.0	0.0	404.0	420.1666666666667	0.0	198.33333333333334	401.3333333333333	0.0	391.1666666666667	1582.6666666666667	4081.3333333333335	3104.6666666666665	331.3333333333333
3650.0	0.0	405.5	415.8333333333333	0.0	200.5	399.5	0.0	393.5	1596.8333333333333	4106.5	3093.3333333333335	347.6666666666667
3700.0	0.0	413.8333333333333	426.5	0.0	196.5	405.6666666666667	0.0	383.6666666666667	1611.0	4147.5	3120.3333333333335	362.6666666666667
3750.0	0.0	420.5	408.0	0.0	195.83333333333334	410.5	0.0	400.0	1594.8333333333333	4191.333333333333	3194.5	353.1666666666667
3800.0	0.0	407.0	422.3333333333333	0.0	210.0	399.1666666666667	0.0	389.6666666666667	1602.6666666666667	4244.5	3264.8333333333335	363.6666666666667
3850.0	0.0	397.5	413.3333333333333	0.0	208.83333333333334	426.1666666666667	0.0	393.0	1608.3333333333333	4293.0	3258.5	385.0
